Year,Title,IMDb,RottenTomatoes,Service
2003,The Life of David Gale,7.5,76,Netflix
2016,Tramps,6.5,76,Netflix
2004,The Girl Next Door,6.7,76,Netflix
2019,The Two Popes,7.6,76,Netflix
2019,The Wandering Earth,6,76,Netflix
2007,Just Another Love Story,7.2,76,Netflix
2019,Eye for an Eye,6.6,76,Netflix
2017,Patton Oswalt: Annihilation,7.2,76,Netflix
2017,Joan Didion: The Center Will Not Hold,7.5,76,Netflix
2015,Steve Jobs,7.2,76,Netflix
2018,White Fang,7,76,"Disney Plus, Netflix"
2016,A Monster Calls,7.5,76,Netflix
2013,Olympus Has Fallen,6.5,76,Netflix
2006,Talladega Nights: The Ballad of Ricky Bobby,6.6,76,Netflix
2009,The Time Traveler's Wife,7.1,76,Netflix
2009,State of Play,7.1,76,Netflix
1976,The Outlaw Josey Wales,7.8,76,Netflix
2008,The Bank Job,7.2,76,Netflix
2016,Miss Sloane,7.5,76,Netflix
2011,Unknown,6.8,75,Netflix
2019,6 Underground,6.1,75,Netflix
2020,Uncorked,6.3,75,Netflix
2019,Petta,7.3,75,Netflix
2016,Justin Timberlake + The Tennessee Kids,7.7,75,Netflix
1964,My Fair Lady,7.8,75,Netflix
2019,"Bikram: Yogi, Guru, Predator",6.7,75,Netflix
2018,A Futile and Stupid Gesture,6.8,75,Netflix
2021,The Dig,7.1,75,Netflix
2001,Legally Blonde,6.3,75,Netflix
2015,Legend,6.9,75,Netflix
2016,Notes on Blindness,7.1,75,Netflix
2018,When We First Met,6.4,75,Netflix
2016,Best Worst Thing That Ever Could Have Happened...,7.5,75,Netflix
2014,Imperial Dreams,6.7,75,Netflix
2018,Black Mirror: Bandersnatch,7.1,75,Netflix
2013,Queen,8.2,75,Netflix
2017,Joshua: Teenager vs. Superpower,7.1,75,Netflix
1997,Air Force One,6.5,75,Netflix
2017,Shot Caller,7.3,75,Netflix
1998,What Dreams May Come,7,75,Netflix
2019,Angel Has Fallen,6.4,75,Netflix
2015,Crimson Peak,6.5,75,Netflix
2004,Lemony Snicket's A Series of Unfortunate Events,6.8,75,Netflix
2019,The Red Sea Diving Resort,6.6,75,Netflix
2018,The Angel,6.6,75,Netflix
2021,Army of the Dead,5.8,75,Netflix
2012,Madagascar 3: Europe's Most Wanted,6.8,75,Netflix
2017,Icarus,7.9,75,Netflix
2016,Collateral Beauty,6.8,75,Netflix
2015,The Danish Girl,7.1,75,Netflix
2010,Green Zone,6.8,75,"Prime Video, Netflix"
2012,John Mulaney: New in Town,8.3,75,Netflix
2017,Strong Island,6.4,75,Netflix
2021,The White Tiger,7.1,75,Netflix
2008,Defiance,7.2,75,Netflix
2018,A Fortunate Man,7.2,75,Netflix
2017,The Death of Stalin,7.2,75,Netflix
2009,2012,5.8,75,"Hulu, Netflix"
2012,Underworld: Awakening,6.3,74,"Hulu, Netflix"
2013,Philomena,7.6,74,Netflix
2018,Sanju,7.7,74,Netflix
2018,Nappily Ever After,6.4,74,Netflix
2021,I Care a Lot,6.3,74,Netflix
2013,The Butler,7.2,74,Netflix
2017,Qarib Qarib Singlle,7.1,74,Netflix
2009,A Single Man,7.5,74,Netflix
2015,Home,6.6,74,"Prime Video, Netflix"
2008,Zack and Miri Make a Porno,6.5,74,"Hulu, Prime Video, Netflix"
2018,Seeing Allred,7,74,Netflix
2008,Dostana,6.5,74,Netflix
2010,Remember Me,7.1,74,Netflix
2009,Underworld: Rise of the Lycans,6.6,74,Netflix
2009,The Lovely Bones,6.7,74,Netflix
2008,Madagascar: Escape 2 Africa,6.6,74,Netflix
2011,No Strings Attached,6.2,74,"Prime Video, Netflix"
2017,Heroin(e),6.8,74,Netflix
2017,A Ghost Story,6.9,74,Netflix
2012,Safety Not Guaranteed,7,74,Netflix
2019,Game Over,7.1,74,Netflix
2018,Peppermint,6.5,74,Netflix
2020,Have a Good Trip: Adventures in Psychedelics,6.8,74,Netflix
2015,Beasts of No Nation,7.7,74,Netflix
2018,Extinction,5.8,74,Netflix
2020,Nobody Knows I'm Here,6.5,74,Netflix
2016,ARQ,6.4,74,Netflix
2017,Ali's Wedding,6.9,74,Netflix
2016,Bo Burnham: Make Happy,8.4,74,Netflix
2020,Mank,6.9,74,Netflix
2019,"Extremely Wicked, Shockingly Evil and Vile",6.7,74,Netflix
2010,Due Date,6.5,74,Netflix
2019,Between Two Ferns: The Movie,6.1,74,Netflix
2010,Ip Man 2,7.5,74,Netflix
2018,Mirage,7.4,74,Netflix
2011,Puss in Boots,6.6,74,Netflix
2002,Austin Powers in Goldmember,6.2,74,Netflix
2018,The Kissing Booth,6,73,Netflix
2016,Hush,6.6,73,Netflix
2020,Lost Bullet,6.2,73,Netflix
2001,Dil Chahta Hai,8.1,73,Netflix
1999,Election,7.2,73,"Prime Video, Netflix"
2019,Soni,7.1,73,Netflix
2015,Bāhubali: The Beginning,8,73,Netflix
2012,Killing Them Softly,6.2,73,Netflix
2001,Swordfish,6.5,73,Netflix
2021,Wish Dragon,7.2,73,Netflix
2017,Raees,6.8,73,Netflix
2019,Let It Snow,5.8,73,Netflix
2020,The Babysitter: Killer Queen,5.8,73,Netflix
2015,Hardcore Henry,6.7,73,Netflix
2018,Tig Notaro: Happy To Be Here,6.7,73,Netflix
2020,Spelling the Dream,6.9,73,Netflix
2019,Knock Down the House,7.1,73,Netflix
2007,Resident Evil: Extinction,6.2,73,"Hulu, Netflix"
2019,Polar,6.3,73,Netflix
2017,Saving Capitalism,6.8,73,Netflix
2017,The Untold Tales of Armistead Maupin,7.3,73,Netflix
2021,The Mitchells vs. The Machines,7.7,73,Netflix
2020,Spenser Confidential,6.2,73,Netflix
2018,Psychokinesis,5.9,73,Netflix
2009,Monsters vs Aliens,6.4,73,Netflix
2008,Twilight,5.2,73,"Prime Video, Netflix"
2015,Self/less,6.5,73,Netflix
2019,The Highwaymen,6.9,73,Netflix
2012,ParaNorman,7,73,Netflix
2020,Holidate,6.1,73,Netflix
2021,Fear Street Part Two: 1978,6.8,73,Netflix
2016,Pee-wee's Big Holiday,6.1,73,Netflix
2021,Gunpowder Milkshake,6,73,Netflix
2017,"Michael Bolton's Big, Sexy Valentine's Day Special",6.7,73,Netflix
2017,I Am Not Your Negro,7.9,73,"Hulu, Netflix"
2016,Midnight Special,6.6,73,Netflix
2016,Layla M.,6.7,73,Netflix
2013,Homefront,6.5,73,Netflix
2005,The Squid and the Whale,7.3,73,Netflix
2002,Comedian,6.9,73,Netflix
2015,No Escape,6.8,73,Netflix
2018,Mercury 13,6.9,73,Netflix
2019,The Professor and the Madman,7.3,73,Netflix
2016,Asperger's Are Us,6.7,73,Netflix
