word,n
prisoner,10
prostitute,10
provocative,10
push,10
putting,10
quiet,10
racial,10
ragtag,10
rap,10
raped,10
remake,10
resistance,10
retirement,10
reunion,10
richard,10
ride,10
rob,10
russell,10
secure,10
settle,10
shady,10
shape,10
shared,10
shark,10
sights,10
son's,10
source,10
spends,10
strip,10
strong,10
stumbles,10
swept,10
teach,10
temple,10
therapist,10
tim,10
tracking,10
traditions,10
transformed,10
tumultuous,10
unconventional,10
underwater,10
unleashes,10
unravels,10
unwittingly,10
vanishes,10
villagers,10
virus,10
vows,10
weapons,10
wide,10
wildlife,10
wind,10
winner,10
zany,10
18,9
1990s,9
19th,9
24,9
90s,9
actors,9
addiction,9
advice,9
affairs,9
ahead,9
anti,9
antics,9
appears,9
archival,9
artistic,9
attraction,9
beginning,9
bending,9
berlin,9
betrayal,9
betrayed,9
bloody,9
boarding,9
bob,9
brand,9
breakup,9
budding,9
built,9
cameras,9
catholic,9
celebrate,9
centers,9
central,9
challenging,9
charged,9
chief,9
choice,9
chosen,9
chris,9
city's,9
clean,9
colombian,9
comics,9
committed,9
conservative,9
contestants,9
corner,9
cost,9
country's,9
crazy,9
cruel,9
crystal,9
daredevil,9
daughters,9
delivery,9
demonic,9
derail,9
designers,9
destined,9
diamond,9
divorced,9
documents,9
don,9
drag,9
dumped,9
dysfunctional,9
earth's,9
eating,9
efforts,9
el,9
elusive,9
emerges,9
evening,9
experimental,9
failing,9
famed,9
farm,9
fascinating,9
fiancé,9
fictional,9
field,9
forge,9
franchise,9
friendly,9
gain,9
gambling,9
generation,9
generations,9
germany,9
grief,9
grow,9
grown,9
grueling,9
guest,9
gun,9
happened,9
happiness,9
hart,9
hatch,9
heiress,9
hell,9
heroic,9
hide,9
hire,9
holidays,9
honor,9
hosted,9
hungry,9
hunters,9
imagination,9
imaginative,9
influential,9
inmate,9
innocent,9
investigative,9
iron,9
it’s,9
jazz,9
jesus,9
joining,9
keeping,9
khan,9
kills,9
kim,9
knight,9
legal,9
letters,9
loner,9
lose,9
lovable,9
mars,9
mayor,9
minds,9
missions,9
modest,9
mountains,9
movies,9
naïve,9
nation,9
nefarious,9
nephew,9
network,9
opportunity,9
otherworldly,9
paradise,9
patient,9
patriarch,9
period,9
pet,9
porn,9
portrait,9
poses,9
practice,9
profile,9
project,9
psychological,9
pull,9
quick,9
rainbow,9
ranch,9
raunchy,9
realities,9
rebel,9
rebuild,9
receives,9
redemption,9
reflect,9
refugees,9
reputation,9
restore,9
risky,9
rome,9
row,9
sacred,9
safety,9
schoolteacher,9
score,9
sharing,9
she’s,9
shock,9
silence,9
silly,9
singing,9
sitcom,9
slacker,9
sold,9
song,9
speak,9
specials,9
spies,9
spin,9
spiral,9
standup,9
stealing,9
strict,9
strike,9
suffers,9
surprises,9
telling,9
terminal,9
theories,9
threats,9
throws,9
trace,9
trials,9
troupe,9
truck,9
trust,9
unknown,9
videos,9
western,9
who've,9
winds,9
winter,9
women's,9
woods,9
worst,9
wrestling,9
writing,9
1920s,8
1950s,8
1992,8
2012,8
40,8
aboard,8
accepts,8
acclaimed,8
addict,8
adopted,8
affluent,8
aftermath,8
alliance,8
alternate,8
americans,8
amnesia,8
amy,8
andy,8
anime,8
anonymous,8
arms,8
arrested,8
arrogant,8
assigned,8
attend,8
awakens,8
baffling,8
ballet,8
bars,8
beat,8
believes,8
beneath,8
bent,8
bid,8
bit,8
blogger,8
bo,8
bound,8
bounty,8
busy,8
captive,8
card,8
caring,8
caused,8
celebrated,8
chain,8
chaotic,8
charles,8
cinema,8
claus,8
climate,8
cole,8
commercial,8
commit,8
communities,8
conquer,8
construction,8
contend,8
cover,8
creator,8
cultures,8
dancing,8
dangers,8
danny,8
dave,8
decision,8
defy,8
designed,8
desires,8
destruction,8
dinosaur,8
discusses,8
dives,8
dollar,8
dominated,8
draws,8
drivers,8
egyptian,8
elements,8
embroiled,8
engineering,8
ensues,8
enthusiast,8
european,8
experiment,8
facility,8
fails,8
family’s,8
father’s,8
fatherhood,8
fearless,8
feature,8
fed,8
feel,8
fi,8
flesh,8
flight,8
focuses,8
forbidden,8
forcing,8
fugitive,8
gig,8
girl's,8
glimpse,8
goa,8
grandson,8
grapples,8
green,8
guilt,8
hair,8
henry,8
history's,8
holy,8
homeland,8
homeless,8
homicide,8
housewife,8
idea,8
illegal,8
